timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719784584700,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-15,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,2
1719784584701,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-29,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,1
1719784584713,1,post request-0,200,OK,Pruebas de usuario 1-15,text,true,,18021,0,50,50,null,0,0,0
1719784584714,0,post request-0,200,OK,Pruebas de usuario 1-29,text,true,,18021,0,50,50,null,0,0,0
1719784584701,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-50,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,1
1719784584701,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-12,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,1
1719784584714,0,post request-0,200,OK,Pruebas de usuario 1-50,text,true,,18021,0,50,50,null,0,0,0
1719784584700,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-38,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,2
1719784584701,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-10,text,false,,20652,0,50,50,http://localhost:8000/Register/,0,0,2
1719784584714,0,post request-0,200,OK,Pruebas de usuario 1-38,text,true,,18021,0,50,50,null,0,0,0
1719784584714,0,post request-0,200,OK,Pruebas de usuario 1-10,text,true,,18021,0,50,50,null,0,0,0
1719784584714,0,post request-0,200,OK,Pruebas de usuario 1-12,text,true,,18021,0,50,50,null,0,0,0
1719784584702,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-48,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584715,1,post request-0,200,OK,Pruebas de usuario 1-48,text,true,,18021,0,49,49,null,0,0,0
1719784584703,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-26,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584716,1,post request-0,200,OK,Pruebas de usuario 1-26,text,true,,18021,0,49,49,null,0,0,0
1719784584703,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-6,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584716,1,post request-0,200,OK,Pruebas de usuario 1-6,text,true,,18021,0,49,49,null,0,0,0
1719784584705,12,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-37,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584703,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-22,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584717,0,post request-0,200,OK,Pruebas de usuario 1-37,text,true,,18021,0,49,49,null,0,0,0
1719784584716,1,post request-0,200,OK,Pruebas de usuario 1-22,text,true,,18021,0,49,49,null,0,0,0
1719784584705,12,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-8,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584705,12,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-40,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584717,0,post request-0,200,OK,Pruebas de usuario 1-8,text,true,,18021,0,49,49,null,0,0,0
1719784584717,0,post request-0,200,OK,Pruebas de usuario 1-40,text,true,,18021,0,49,49,null,0,0,0
1719784584705,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-41,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584705,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-18,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584719,0,post request-0,200,OK,Pruebas de usuario 1-41,text,true,,18021,0,49,49,null,0,0,0
1719784584718,1,post request-0,200,OK,Pruebas de usuario 1-18,text,true,,18021,0,49,49,null,0,0,0
1719784584706,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-7,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584719,1,post request-0,200,OK,Pruebas de usuario 1-7,text,true,,18021,0,49,49,null,0,0,0
1719784584707,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-1,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584720,0,post request-0,200,OK,Pruebas de usuario 1-1,text,true,,18021,0,49,49,null,0,0,0
1719784584707,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-3,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584720,0,post request-0,200,OK,Pruebas de usuario 1-3,text,true,,18021,0,49,49,null,0,0,0
1719784584707,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-49,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584720,0,post request-0,200,OK,Pruebas de usuario 1-49,text,true,,18021,0,49,49,null,0,0,0
1719784584709,12,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-33,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584720,1,post request-0,200,OK,Pruebas de usuario 1-33,text,true,,18021,0,49,49,null,0,0,0
1719784584709,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-36,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584721,1,post request-0,200,OK,Pruebas de usuario 1-36,text,true,,18021,0,49,49,null,0,0,0
1719784584705,17,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-45,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584719,3,post request-0,200,OK,Pruebas de usuario 1-45,text,true,,18021,0,49,49,null,0,0,0
1719784584706,16,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-11,text,false,,20651,0,49,49,http://localhost:8000/Register/,0,0,2
1719784584719,3,post request-0,200,OK,Pruebas de usuario 1-11,text,true,,18020,0,49,49,null,0,0,0
1719784584708,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-2,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584722,1,post request-0,200,OK,Pruebas de usuario 1-2,text,true,,18021,0,49,49,null,0,0,0
1719784584702,23,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-13,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,9
1719784584724,1,post request-0,200,OK,Pruebas de usuario 1-13,text,true,,18021,0,49,49,null,0,0,0
1719784584712,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-44,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584725,1,post request-0,200,OK,Pruebas de usuario 1-44,text,true,,18021,0,49,49,null,0,0,0
1719784584712,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-47,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584725,1,post request-0,200,OK,Pruebas de usuario 1-47,text,true,,18021,0,49,49,null,0,0,0
1719784584712,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-32,text,false,,20652,0,49,49,http://localhost:8000/Register/,0,0,1
1719784584726,1,post request-0,200,OK,Pruebas de usuario 1-32,text,true,,18021,0,47,47,null,0,0,0
1719784584714,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-21,text,false,,20651,0,46,46,http://localhost:8000/Register/,0,0,2
1719784584728,1,post request-0,200,OK,Pruebas de usuario 1-21,text,true,,18020,0,46,46,null,0,0,0
1719784584717,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-25,text,false,,20652,0,45,45,http://localhost:8000/Register/,0,0,1
1719784584730,2,post request-0,200,OK,Pruebas de usuario 1-25,text,true,,18021,0,45,45,null,0,0,0
1719784584723,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-35,text,false,,20652,0,44,44,http://localhost:8000/Register/,0,0,1
1719784584735,1,post request-0,200,OK,Pruebas de usuario 1-35,text,true,,18021,0,44,44,null,0,0,0
1719784584723,22,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-39,text,false,,20651,0,44,44,http://localhost:8000/Register/,0,0,2
1719784584736,9,post request-0,200,OK,Pruebas de usuario 1-39,text,true,,18020,0,43,43,null,0,0,0
1719784584729,17,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-10,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584731,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-40,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,1
1719784584725,21,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-34,text,false,,20650,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584744,1,post request-0,200,OK,Pruebas de usuario 1-40,text,true,,18021,0,43,43,null,0,0,0
1719784584731,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-37,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584737,9,post request-0,200,OK,Pruebas de usuario 1-34,text,true,,18019,0,43,43,null,0,0,0
1719784584745,1,post request-0,200,OK,Pruebas de usuario 1-37,text,true,,18021,0,43,43,null,0,0,0
1719784584733,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-7,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584745,1,post request-0,200,OK,Pruebas de usuario 1-7,text,true,,18021,0,43,43,null,0,0,0
1719784584725,21,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-43,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584737,9,post request-0,200,OK,Pruebas de usuario 1-43,text,true,,18021,0,43,43,null,0,0,0
1719784584744,2,post request-0,200,OK,Pruebas de usuario 1-10,text,true,,18021,0,43,43,null,0,0,0
1719784584728,18,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-15,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584745,1,post request-0,200,OK,Pruebas de usuario 1-15,text,true,,18021,0,43,43,null,0,0,0
1719784584731,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-8,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,1
1719784584744,2,post request-0,200,OK,Pruebas de usuario 1-8,text,true,,18021,0,41,41,null,0,0,0
1719784584731,16,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-26,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,1
1719784584744,3,post request-0,200,OK,Pruebas de usuario 1-26,text,true,,18021,0,40,40,null,0,0,0
1719784584730,17,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-48,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,3
1719784584744,3,post request-0,200,OK,Pruebas de usuario 1-48,text,true,,18021,0,40,40,null,0,0,0
1719784584730,17,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-38,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,2
1719784584745,2,post request-0,200,OK,Pruebas de usuario 1-38,text,true,,18021,0,40,40,null,0,0,0
1719784584727,21,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-27,text,false,,20651,0,40,40,http://localhost:8000/Register/,0,0,2
1719784584747,1,post request-0,200,OK,Pruebas de usuario 1-27,text,true,,18020,0,37,37,null,0,0,0
1719784584734,14,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-3,text,false,,20652,0,38,38,http://localhost:8000/Register/,0,0,1
1719784584747,1,post request-0,200,OK,Pruebas de usuario 1-3,text,true,,18021,0,34,34,null,0,0,0
1719784584733,15,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-41,text,false,,20652,0,38,38,http://localhost:8000/Register/,0,0,2
1719784584735,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-36,text,false,,20652,0,37,37,http://localhost:8000/Register/,0,0,1
1719784584726,22,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-16,text,false,,20652,0,38,38,http://localhost:8000/Register/,0,0,3
1719784584747,1,post request-0,200,OK,Pruebas de usuario 1-41,text,true,,18021,0,34,34,null,0,0,0
1719784584747,1,post request-0,200,OK,Pruebas de usuario 1-36,text,true,,18021,0,34,34,null,0,0,0
1719784584747,1,post request-0,200,OK,Pruebas de usuario 1-16,text,true,,18021,0,34,34,null,0,0,0
1719784584734,13,post request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Pruebas de usuario 1-33,text,false,,20652,0,43,43,http://localhost:8000/Register/,0,0,1
